customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,churn
CUST_00025,47,45.3,2123.79,Month-to-Month,Mailed Check,DSL,Yes,0
CUST_00026,62,89.54,5535.86,One-Year,Bank Transfer,DSL,Yes,0
CUST_00027,51,27.54,1378.01,Month-to-Month,Credit Card,No,Yes,0
CUST_00028,55,36.62,2025.7,Two-Year,Mailed Check,Fiber Optic,Yes,0
CUST_00029,64,41.68,2691.6,One-Year,Electronic Check,DSL,No internet service,0
CUST_00030,3,49.45,136.39,One-Year,Credit Card,Fiber Optic,No internet service,1
CUST_00031,51,119.58,6097.6,Month-to-Month,Electronic Check,No,Yes,0
CUST_00032,7,89.69,623.23,Month-to-Month,Bank Transfer,Fiber Optic,No internet service,1
CUST_00033,21,58.42,1216.94,Month-to-Month,Credit Card,DSL,No,0
CUST_00034,39,93.71,3664.65,Two-Year,Credit Card,DSL,No internet service,0
CUST_00035,18,111.53,2022.61,Month-to-Month,Electronic Check,Fiber Optic,No internet service,1
CUST_00036,4,115.87,450.45,Month-to-Month,Credit Card,Fiber Optic,Yes,1
CUST_00037,60,25.79,1547.85,Two-Year,Credit Card,Fiber Optic,No internet service,0
CUST_00038,14,59.45,,Month-to-Month,Credit Card,DSL,No internet service,1
CUST_00039,9,30.68,286.42,Month-to-Month,Bank Transfer,No,No internet service,0
CUST_00040,53,53.57,2851.56,Month-to-Month,Electronic Check,DSL,No internet service,1
CUST_00041,2,36.97,94.46,Two-Year,Credit Card,DSL,No,0
CUST_00042,60,84.68,5101.41,Month-to-Month,Mailed Check,DSL,Yes,1
CUST_00043,71,58.83,4192.14,One-Year,Mailed Check,DSL,Yes,0
CUST_00044,44,42.94,1891.51,One-Year,Mailed Check,Fiber Optic,No,0
CUST_00045,8,46.59,367.01,Month-to-Month,Mailed Check,Fiber Optic,No internet service,1
CUST_00046,47,56.03,2635.17,One-Year,Bank Transfer,DSL,No,0
CUST_00047,35,45.99,1601.81,Month-to-Month,Credit Card,Fiber Optic,No internet service,0
CUST_00048,36,65.32,2322.38,Month-to-Month,Electronic Check,DSL,No,1
CUST_00049,50,23.23,1157.39,One-Year,Credit Card,Fiber Optic,Yes,0
CUST_00050,4,47.98,197.27,Two-Year,Bank Transfer,No,Yes,1
CUST_00051,2,61.12,113.43,One-Year,Mailed Check,DSL,Yes,1
CUST_00052,6,80.28,478.78,Month-to-Month,Bank Transfer,Fiber Optic,No internet service,1
CUST_00053,54,47.1,2540.86,Month-to-Month,Credit Card,DSL,No internet service,0
CUST_00054,4,33.32,153.63,Month-to-Month,Electronic Check,DSL,No,1
CUST_00055,54,27.62,1486.09,Month-to-Month,Bank Transfer,DSL,No,0
CUST_00056,63,114.05,7205.7,Month-to-Month,Electronic Check,Fiber Optic,Yes,1
CUST_00057,18,61.66,1069.26,Month-to-Month,Bank Transfer,Fiber Optic,No internet service,1
CUST_00058,44,78.12,3457.33,Month-to-Month,Electronic Check,DSL,No,0
CUST_00059,34,111.92,3824.66,Month-to-Month,Electronic Check,Fiber Optic,No internet service,1
CUST_00060,62,28.27,1766.57,Month-to-Month,Mailed Check,Fiber Optic,No internet service,1
CUST_00061,14,107.67,,Month-to-Month,Electronic Check,Fiber Optic,Yes,1
CUST_00062,48,75.16,3622.91,Two-Year,Mailed Check,Fiber Optic,Yes,0
CUST_00063,15,36.48,546.5,Month-to-Month,Credit Card,Fiber Optic,No internet service,1
CUST_00064,62,61.13,3751.84,Two-Year,Credit Card,DSL,No internet service,0
CUST_00065,40,97.76,3929.88,Two-Year,Mailed Check,DSL,No internet service,0
CUST_00066,53,68.04,3627.62,Month-to-Month,Mailed Check,No,No internet service,0
CUST_00067,24,118.53,2816.12,One-Year,Bank Transfer,DSL,Yes,0
CUST_00068,26,57.67,1502.15,One-Year,Bank Transfer,No,No,0
CUST_00069,60,94.96,5718.3,One-Year,Bank Transfer,Fiber Optic,Yes,0
CUST_00070,41,59.3,2449.71,Month-to-Month,Credit Card,DSL,No,0
CUST_00071,29,102.92,2997.12,Month-to-Month,Bank Transfer,DSL,No internet service,1
CUST_00072,15,76.91,1113.91,Month-to-Month,Electronic Check,DSL,No,0
CUST_00073,45,26.35,1196.75,Month-to-Month,Electronic Check,No,Yes,1
CUST_00074,65,23.68,1536.07,One-Year,Bank Transfer,Fiber Optic,Yes,0
CUST_00075,71,33.39,2385.29,One-Year,Electronic Check,DSL,No internet service,0
CUST_00076,9,21.37,196.15,Month-to-Month,Credit Card,DSL,Yes,0
CUST_00077,1,27.54,27.24,One-Year,Electronic Check,DSL,No internet service,0
CUST_00078,8,89.17,722.99,Month-to-Month,Credit Card,Fiber Optic,Yes,1
CUST_00079,63,73.43,4623.8,Month-to-Month,?,DSL,Yes,1
CUST_00080,11,94.99,1044.54,Two-Year,Mailed Check,Fiber Optic,No internet service,0
CUST_00081,8,111.32,882.2,Month-to-Month,Mailed Check,DSL,No,1
CUST_00082,35,78.51,2723.94,Month-to-Month,Mailed Check,DSL,Yes,1
CUST_00083,35,92.61,3249.94,Month-to-Month,Electronic Check,Fiber Optic,No,1
CUST_00084,33,95.71,3146.28,Month-to-Month,Bank Transfer,Fiber Optic,Yes,0
CUST_00085,5,57.79,285.91,Two-Year,Electronic Check,No,Yes,0
CUST_00086,41,44.11,1812.75,One-Year,Credit Card,Fiber Optic,Yes,0
CUST_00087,28,40.5,1102.85,Two-Year,Electronic Check,DSL,Yes,0
CUST_00088,7,45.14,288.09,One-Year,Electronic Check,Fiber Optic,No,1
CUST_00089,12,47.47,565.18,Month-to-Month,Credit Card,DSL,No,1
CUST_00090,34,40.72,1391.39,Month-to-Month,Mailed Check,DSL,Yes,1
CUST_00091,33,107.82,3569.29,One-Year,Mailed Check,No,Yes,1
CUST_00092,48,95.7,4569.73,Month-to-Month,Mailed Check,Fiber Optic,No,0
CUST_00093,23,24.69,577.41,Two-Year,Bank Transfer,No,No internet service,1
CUST_00094,62,46.87,2902.09,Two-Year,Credit Card,Fiber Optic,No internet service,0
CUST_00095,37,22.22,808.84,Month-to-Month,Credit Card,Fiber Optic,No,0
CUST_00096,44,69.82,3062.2,Two-Year,Electronic Check,DSL,Yes,0
CUST_00097,35,67.62,2378.77,Two-Year,Bank Transfer,DSL,Yes,0
CUST_00098,65,103.14,6708.02,One-Year,Mailed Check,Fiber Optic,No internet service,0
CUST_00099,47,50.78,2387.31,Month-to-Month,Bank Transfer,DSL,No internet service,1
CUST_00100,3,101.64,308.57,Month-to-Month,Credit Card,Fiber Optic,No,1
CUST_00101,1,116.8,130.72,Month-to-Month,Credit Card,Fiber Optic,No internet service,1
CUST_00102,5,28.84,142.75,Month-to-Month,Electronic Check,DSL,No,0
CUST_00103,14,99.18,1389.36,Month-to-Month,Electronic Check,Fiber Optic,No internet service,0
CUST_00104,27,79.0,2149.95,One-Year,Credit Card,Fiber Optic,No internet service,0
CUST_00105,9,68.0,607.07,Month-to-Month,Mailed Check,DSL,No internet service,1
CUST_00106,15,62.05,940.08,One-Year,Mailed Check,Fiber Optic,Yes,0
CUST_00107,42,98.47,4128.05,Two-Year,Bank Transfer,Fiber Optic,Yes,0
CUST_00108,51,83.94,4274.5,Two-Year,Credit Card,DSL,Yes,0
CUST_00109,63,100.5,6330.22,Month-to-Month,Credit Card,Fiber Optic,No internet service,1
CUST_00110,52,110.32,5744.11,Two-Year,Mailed Check,No,No,0
CUST_00111,4,81.73,344.82,Month-to-Month,Mailed Check,DSL,No,0
CUST_00112,23,118.05,2716.51,Month-to-Month,Credit Card,Fiber Optic,No,1
CUST_00113,15,80.81,1189.63,One-Year,Electronic Check,DSL,No,1
CUST_00114,43,83.66,3607.04,Month-to-Month,Credit Card,Fiber Optic,Yes,0
CUST_00115,29,75.48,2225.77,Month-to-Month,Credit Card,Fiber Optic,Yes,0
CUST_00116,36,29.1,1049.24,One-Year,Mailed Check,DSL,No internet service,0
CUST_00117,13,92.64,1178.68,Month-to-Month,Mailed Check,DSL,No internet service,1
CUST_00118,32,74.74,2394.37,Month-to-Month,Electronic Check,Fiber Optic,No,1
CUST_00119,71,65.09,4621.42,Month-to-Month,Electronic Check,Fiber Optic,Yes,0
CUST_00120,59,111.05,6550.47,One-Year,Bank Transfer,Fiber Optic,No,0
CUST_00121,28,49.8,1408.47,One-Year,Credit Card,DSL,No internet service,0
CUST_00122,66,72.36,4796.45,Month-to-Month,Mailed Check,No,No internet service,0
CUST_00123,42,89.76,3780.35,Month-to-Month,Electronic Check,Fiber Optic,No,1
CUST_00124,45,99.65,4482.13,Month-to-Month,Bank Transfer,No,No internet service,0
CUST_00125,62,65.93,4104.84,Month-to-Month,Bank Transfer,DSL,No,1
CUST_00126,57,104.21,5917.51,One-Year,Mailed Check,Fiber Optic,Yes,0
CUST_00127,6,96.89,570.61,Month-to-Month,Mailed Check,Fiber Optic,No,0
CUST_00128,28,26.62,736.39,Month-to-Month,Bank Transfer,DSL,Yes,1
CUST_00129,28,24.59,,One-Year,Electronic Check,Fiber Optic,Yes,0
CUST_00130,44,82.08,3619.15,One-Year,Bank Transfer,DSL,No internet service,0
CUST_00131,30,54.74,1639.23,One-Year,Credit Card,Fiber Optic,No internet service,1
CUST_00132,62,40.91,2523.02,Month-to-Month,Credit Card,Fiber Optic,No internet service,1
CUST_00133,62,77.96,4848.45,Month-to-Month,Mailed Check,DSL,No,0
CUST_00134,1,54.16,50.62,Month-to-Month,Electronic Check,Fiber Optic,No,1
CUST_00135,27,73.73,1992.14,Month-to-Month,Electronic Check,Fiber Optic,No internet service,1
CUST_00136,62,66.01,4101.0,One-Year,Credit Card,DSL,No,0
CUST_00137,3,78.48,236.01,Two-Year,Bank Transfer,No,No internet service,0
CUST_00138,70,60.03,4202.75,One-Year,Mailed Check,No,No,0
CUST_00139,27,89.77,2439.16,One-Year,Bank Transfer,Fiber Optic,Yes,0
CUST_00140,9,38.01,344.33,Month-to-Month,Bank Transfer,DSL,Yes,0
CUST_00141,62,89.65,5571.25,One-Year,Bank Transfer,Fiber Optic,No internet service,1
CUST_00142,37,61.17,2271.32,Month-to-Month,Electronic Check,Fiber Optic,No,1
CUST_00143,51,107.43,5509.27,Month-to-Month,Credit Card,DSL,No,0
CUST_00144,44,71.52,3153.18,Month-to-Month,Electronic Check,Fiber Optic,Yes,0
CUST_00145,24,117.31,2825.03,Month-to-Month,Credit Card,Fiber Optic,Yes,1
CUST_00146,59,80.19,4747.94,Month-to-Month,Mailed Check,Fiber Optic,No internet service,0
CUST_00147,32,42.38,1357.27,Two-Year,Mailed Check,Fiber Optic,Yes,0
CUST_00148,52,102.18,5303.74,Month-to-Month,Bank Transfer,Fiber Optic,No internet service,0
CUST_00149,62,54.51,3372.4,Month-to-Month,Credit Card,No,Yes,1
CUST_00150,58,54.76,3169.22,Month-to-Month,Credit Card,DSL,Yes,0
CUST_00151,52,23.18,1191.13,One-Year,Credit Card,Fiber Optic,No,0
CUST_00152,12,74.87,903.23,One-Year,Bank Transfer,No,Yes,0
CUST_00153,39,73.44,2854.81,One-Year,Bank Transfer,Fiber Optic,Yes,0
CUST_00154,2,55.6,114.12,Month-to-Month,Mailed Check,Fiber Optic,No internet service,0
CUST_00155,3,109.42,325.89,One-Year,Electronic Check,Fiber Optic,Yes,0
CUST_00156,56,32.87,1840.37,Month-to-Month,Credit Card,Fiber Optic,No internet service,1
CUST_00157,59,53.01,3135.93,Two-Year,Credit Card,Fiber Optic,Yes,0
CUST_00158,2,52.16,96.19,One-Year,Electronic Check,Fiber Optic,Yes,0
CUST_00159,2,29.23,68.04,Month-to-Month,Credit Card,No,No internet service,0
CUST_00160,54,68.11,3701.69,Month-to-Month,Bank Transfer,DSL,No,1
CUST_00161,1,88.78,93.93,Month-to-Month,Bank Transfer,DSL,No internet service,1
CUST_00162,19,71.17,1340.42,Month-to-Month,Credit Card,Fiber Optic,No internet service,0
CUST_00163,2,35.7,62.17,Month-to-Month,Bank Transfer,DSL,No internet service,0
CUST_00164,53,57.73,3055.89,One-Year,Bank Transfer,DSL,No,0
CUST_00165,44,20.26,882.49,Month-to-Month,Credit Card,DSL,Yes,0
CUST_00166,32,106.83,3403.7,Month-to-Month,Mailed Check,DSL,No internet service,1
CUST_00167,70,28.45,,Month-to-Month,Electronic Check,DSL,No internet service,0
CUST_00168,32,79.73,2547.97,Month-to-Month,Bank Transfer,No,No,0
CUST_00169,68,118.63,8069.39,Two-Year,Mailed Check,DSL,No internet service,0
CUST_00170,55,73.66,4069.04,Month-to-Month,Bank Transfer,Fiber Optic,Yes,0
CUST_00171,56,112.4,6291.09,One-Year,Bank Transfer,Fiber Optic,No,1
CUST_00172,17,43.61,723.62,Two-Year,Electronic Check,No,Yes,0
CUST_00173,38,96.0,3641.85,One-Year,Bank Transfer,DSL,Yes,0
CUST_00174,24,73.13,1766.59,Two-Year,Electronic Check,No,No,1
CUST_00175,69,92.05,6361.71,Month-to-Month,Electronic Check,Fiber Optic,No internet service,1
CUST_00176,70,26.23,1844.17,Two-Year,Electronic Check,Fiber Optic,Yes,0
CUST_00177,11,34.77,373.14,Month-to-Month,Mailed Check,Fiber Optic,Yes,1
CUST_00178,16,33.31,544.27,Month-to-Month,Credit Card,Fiber Optic,Yes,1
CUST_00179,59,88.72,5248.93,One-Year,Mailed Check,DSL,Yes,0
CUST_00180,70,104.44,7300.65,Two-Year,Credit Card,Fiber Optic,No,0
CUST_00181,3,94.96,284.26,Two-Year,Credit Card,Fiber Optic,No,0
CUST_00182,20,23.05,491.25,Month-to-Month,Electronic Check,Fiber Optic,Yes,1
CUST_00183,59,106.72,6285.47,Month-to-Month,Bank Transfer,No,No internet service,1
CUST_00184,36,55.41,1969.35,Two-Year,Electronic Check,DSL,Yes,0
CUST_00185,19,59.72,1155.35,Month-to-Month,Bank Transfer,No,No internet service,1
CUST_00186,67,30.49,2059.67,One-Year,Credit Card,DSL,Yes,0
CUST_00187,19,93.74,1774.22,Two-Year,Electronic Check,DSL,No internet service,0
CUST_00188,20,38.23,762.87,Month-to-Month,Bank Transfer,DSL,Yes,0
CUST_00189,71,76.4,5405.78,Month-to-Month,Mailed Check,DSL,No internet service,1
CUST_00190,52,104.07,5413.03,Month-to-Month,Bank Transfer,Fiber Optic,Yes,0
CUST_00191,33,28.92,971.86,Month-to-Month,Electronic Check,DSL,Yes,1
CUST_00192,40,73.53,2933.2,Two-Year,Mailed Check,DSL,No internet service,0
CUST_00193,39,43.32,1702.7,Month-to-Month,Bank Transfer,No,No,0
CUST_00194,1,54.29,61.25,Two-Year,Bank Transfer,Fiber Optic,No internet service,1
CUST_00195,11,67.4,750.03,Month-to-Month,Bank Transfer,Fiber Optic,No,1
CUST_00196,57,55.51,3156.83,Two-Year,Bank Transfer,No,Yes,0
CUST_00197,50,84.88,4238.79,Month-to-Month,Bank Transfer,Fiber Optic,No internet service,0
CUST_00198,23,67.96,1535.34,Month-to-Month,Mailed Check,DSL,No internet service,1
CUST_00199,31,78.42,2422.52,Month-to-Month,Credit Card,DSL,No internet service,1
CUST_00200,42,93.68,3952.11,One-Year,Mailed Check,Fiber Optic,No,0
CUST_00201,7,75.77,516.48,One-Year,Mailed Check,DSL,No,0
CUST_00202,16,78.65,1246.75,Two-Year,Mailed Check,Fiber Optic,Yes,0
CUST_00203,60,76.45,4596.35,Month-to-Month,Credit Card,DSL,No,0
CUST_00204,2,57.88,121.8,Month-to-Month,Electronic Check,DSL,No,0
CUST_00205,1,53.74,64.09,Month-to-Month,Credit Card,Fiber Optic,Yes,1
CUST_00206,48,109.96,5260.86,Month-to-Month,Mailed Check,Fiber Optic,No internet service,1
CUST_00207,12,80.76,1007.53,Month-to-Month,Bank Transfer,Fiber Optic,No internet service,1
CUST_00208,69,44.44,3047.8,Two-Year,Bank Transfer,Fiber Optic,Yes,0
CUST_00209,37,69.82,2585.83,Two-Year,Mailed Check,DSL,No internet service,0
CUST_00210,32,53.03,1694.74,Two-Year,Bank Transfer,DSL,No,1
CUST_00211,9,113.37,1002.52,One-Year,Mailed Check,No,Yes,1
CUST_00212,19,20.75,388.76,Month-to-Month,Bank Transfer,Fiber Optic,Yes,1
CUST_00213,48,42.53,2041.95,Month-to-Month,Credit Card,DSL,Yes,0
CUST_00214,3,56.54,159.86,Month-to-Month,Electronic Check,Fiber Optic,No internet service,1
CUST_00215,20,68.78,1389.68,Two-Year,Electronic Check,DSL,Yes,0
CUST_00216,24,105.08,2519.54,Month-to-Month,Credit Card,Fiber Optic,Yes,1
CUST_00217,54,28.79,1534.47,Month-to-Month,Credit Card,DSL,Yes,0
CUST_00218,33,100.59,3297.96,Month-to-Month,Mailed Check,Fiber Optic,No internet service,1
CUST_00219,24,25.57,622.66,Month-to-Month,Mailed Check,Fiber Optic,No,0
CUST_00220,36,104.23,3730.03,Two-Year,Mailed Check,DSL,Yes,0
CUST_00221,38,25.16,960.96,One-Year,Bank Transfer,No,No,0
CUST_00222,25,21.82,552.28,Month-to-Month,Mailed Check,Fiber Optic,No internet service,0
CUST_00223,18,89.7,1599.6,Two-Year,Credit Card,DSL,No internet service,0
CUST_00224,66,119.73,7915.25,One-Year,Electronic Check,DSL,No internet service,0
CUST_00225,54,109.66,5895.93,Month-to-Month,Bank Transfer,DSL,No internet service,0
CUST_00226,35,77.6,2720.44,Month-to-Month,Mailed Check,DSL,No,1
CUST_00227,61,111.74,6815.5,Month-to-Month,Bank Transfer,Fiber Optic,Yes,0
CUST_00228,41,20.53,839.95,Month-to-Month,Bank Transfer,Fiber Optic,No internet service,1
CUST_00229,33,117.51,3860.05,Two-Year,Mailed Check,Fiber Optic,No internet service,1
CUST_00230,68,69.07,4683.04,Month-to-Month,Bank Transfer,DSL,No,0
CUST_00231,33,92.29,3069.84,Two-Year,Electronic Check,DSL,No,1
CUST_00232,14,102.09,1447.43,Month-to-Month,Credit Card,DSL,No internet service,1
CUST_00233,21,91.85,1939.89,Month-to-Month,Credit Card,Fiber Optic,Yes,0
CUST_00234,48,73.5,3542.27,Month-to-Month,Electronic Check,Fiber Optic,Yes,0
CUST_00235,20,67.66,1365.93,Month-to-Month,Bank Transfer,DSL,No internet service,0
CUST_00236,8,103.86,826.02,Month-to-Month,Mailed Check,Fiber Optic,No,1
CUST_00237,7,40.51,284.27,Two-Year,Bank Transfer,No,No internet service,1
CUST_00238,67,116.8,7803.47,Month-to-Month,Electronic Check,Fiber Optic,No internet service,1
CUST_00239,17,91.1,1547.27,One-Year,Bank Transfer,Fiber Optic,No,1
CUST_00240,33,39.95,1336.12,Month-to-Month,Credit Card,Fiber Optic,No internet service,1
CUST_00241,48,93.62,4484.08,Month-to-Month,Bank Transfer,Fiber Optic,No internet service,1
CUST_00242,59,72.98,4321.4,Month-to-Month,Electronic Check,Fiber Optic,No internet service,0
CUST_00243,22,90.72,1997.28,One-Year,Credit Card,Fiber Optic,No,0
CUST_00244,30,96.78,2882.56,Month-to-Month,Bank Transfer,DSL,Yes,1
CUST_00245,38,28.73,1075.09,Month-to-Month,Bank Transfer,DSL,Yes,0
CUST_00246,51,70.61,3614.92,One-Year,Credit Card,DSL,No,0
CUST_00247,54,113.2,6121.17,Month-to-Month,Mailed Check,Fiber Optic,Yes,1
CUST_00248,8,52.06,418.04,Month-to-Month,Credit Card,DSL,No internet service,0
CUST_00249,27,79.39,2139.37,Month-to-Month,Mailed Check,No,Yes,0
CUST_00250,27,56.92,1540.08,Two-Year,Electronic Check,Fiber Optic,No internet service,0
CUST_00251,21,65.43,1387.17,One-Year,Electronic Check,Fiber Optic,Yes,1
CUST_00252,30,74.86,2267.95,Month-to-Month,Credit Card,DSL,No,0
CUST_00253,28,74.89,2119.84,Month-to-Month,Credit Card,No,Yes,0
CUST_00254,64,40.17,2576.65,Two-Year,Electronic Check,Fiber Optic,Yes,0
CUST_00255,69,88.46,6100.96,One-Year,Mailed Check,Fiber Optic,Yes,0
CUST_00256,61,28.79,1758.19,Month-to-Month,Electronic Check,DSL,No,0
CUST_00257,48,33.88,1634.19,Two-Year,Credit Card,Fiber Optic,Yes,0
CUST_00258,19,20.27,392.92,Month-to-Month,Electronic Check,DSL,No,1
CUST_00259,4,31.67,146.3,Month-to-Month,Credit Card,DSL,No internet service,0
CUST_00260,35,67.32,2387.82,One-Year,Credit Card,Fiber Optic,Yes,0
CUST_00261,64,80.61,5155.97,Month-to-Month,Electronic Check,Fiber Optic,No,1
CUST_00262,49,99.43,4904.36,Two-Year,Mailed Check,Fiber Optic,No,0
CUST_00263,17,30.67,538.97,One-Year,Bank Transfer,No,Yes,0
CUST_00264,44,105.07,4621.69,One-Year,Electronic Check,Fiber Optic,No internet service,1
CUST_00265,30,94.6,2860.4,Month-to-Month,Bank Transfer,Fiber Optic,No,1
CUST_00266,46,60.85,2824.47,Month-to-Month,?,DSL,Yes,0
CUST_00267,6,113.29,672.86,Month-to-Month,?,No,No internet service,0
CUST_00268,37,119.09,4432.42,One-Year,Mailed Check,DSL,No,0
CUST_00269,24,40.5,988.13,Month-to-Month,Mailed Check,No,No,1
CUST_00270,46,57.92,2699.98,Month-to-Month,Electronic Check,Fiber Optic,No internet service,1
CUST_00271,53,112.64,5963.82,One-Year,Credit Card,DSL,No internet service,0
CUST_00272,60,92.16,5524.28,Month-to-Month,Bank Transfer,Fiber Optic,Yes,0
CUST_00273,63,24.81,1532.6,One-Year,Credit Card,No,Yes,0
CUST_00274,32,98.15,3149.41,Month-to-Month,Credit Card,Fiber Optic,No,0
CUST_00275,33,102.79,3397.83,Two-Year,Credit Card,No,No internet service,0
CUST_00276,67,95.05,6359.92,Month-to-Month,Mailed Check,No,No internet service,0
CUST_00277,18,99.95,1797.94,Month-to-Month,Electronic Check,Fiber Optic,No internet service,1
CUST_00278,25,102.51,2543.16,Month-to-Month,Electronic Check,DSL,No,1
CUST_00279,54,38.64,2104.56,Month-to-Month,Mailed Check,No,No internet service,0
CUST_00280,58,43.57,2519.67,One-Year,Mailed Check,Fiber Optic,No internet service,0
CUST_00281,67,83.38,5632.59,One-Year,Electronic Check,DSL,No,0
CUST_00282,46,110.79,5093.55,One-Year,Credit Card,DSL,Yes,0
CUST_00283,24,51.62,1227.48,Month-to-Month,Bank Transfer,Fiber Optic,Yes,1
CUST_00284,32,78.83,2516.4,Month-to-Month,Bank Transfer,No,No,1
CUST_00285,47,88.3,4128.84,Month-to-Month,Bank Transfer,Fiber Optic,No internet service,0
CUST_00286,23,65.19,1506.72,One-Year,Credit Card,Fiber Optic,No,0
CUST_00287,66,91.38,6024.67,Two-Year,Electronic Check,DSL,Yes,0
CUST_00288,27,109.97,2986.07,Month-to-Month,Mailed Check,DSL,Yes,1
CUST_00289,2,82.41,160.7,Month-to-Month,Electronic Check,No,No,1
CUST_00290,17,73.98,1278.39,One-Year,Credit Card,DSL,No,0
CUST_00291,33,63.87,2119.22,Two-Year,Mailed Check,DSL,Yes,0
CUST_00292,9,77.75,700.17,One-Year,Credit Card,DSL,No,1
CUST_00293,43,55.54,2411.76,Two-Year,Bank Transfer,Fiber Optic,Yes,0
CUST_00294,48,59.15,2853.4,Month-to-Month,?,No,No,0
CUST_00295,39,73.19,2898.44,Month-to-Month,Credit Card,DSL,No,0
CUST_00296,42,26.66,1113.66,Two-Year,Mailed Check,Fiber Optic,No,0
CUST_00297,26,42.9,1116.62,One-Year,Mailed Check,Fiber Optic,Yes,1
CUST_00298,50,74.28,3737.78,Month-to-Month,Electronic Check,No,No,1
CUST_00299,25,63.15,1555.67,One-Year,Bank Transfer,DSL,Yes,0
CUST_00300,24,53.28,1298.51,Two-Year,Electronic Check,Fiber Optic,Yes,0
CUST_00301,13,93.05,1216.3,One-Year,Electronic Check,DSL,No,0
CUST_00302,60,89.37,5348.98,One-Year,Credit Card,No,No,0
CUST_00303,7,36.67,236.27,Month-to-Month,Credit Card,Fiber Optic,Yes,0
CUST_00304,57,107.86,6138.1,Month-to-Month,Electronic Check,DSL,Yes,0
CUST_00305,36,69.54,2469.25,Month-to-Month,Bank Transfer,Fiber Optic,No internet service,1
CUST_00306,45,94.15,4229.23,Two-Year,Credit Card,Fiber Optic,Yes,0
CUST_00307,20,77.32,1555.64,Two-Year,Electronic Check,DSL,No internet service,0
CUST_00308,65,119.77,7777.86,Two-Year,Electronic Check,No,No internet service,1
CUST_00309,8,95.24,782.75,Month-to-Month,Electronic Check,DSL,No internet service,1
CUST_00310,16,90.7,1476.07,One-Year,Electronic Check,Fiber Optic,No,1
CUST_00311,14,97.86,1389.14,One-Year,Electronic Check,Fiber Optic,No,0
CUST_00312,15,34.31,518.15,One-Year,Electronic Check,Fiber Optic,Yes,0
CUST_00313,66,40.45,2635.12,One-Year,Credit Card,DSL,No internet service,0
CUST_00314,32,91.41,2914.45,Two-Year,Bank Transfer,No,No,1
CUST_00315,63,69.4,4369.95,Month-to-Month,Electronic Check,Fiber Optic,No,1
CUST_00316,51,95.46,4855.23,Month-to-Month,Mailed Check,Fiber Optic,No,1
CUST_00317,25,30.29,755.2,Month-to-Month,Credit Card,Fiber Optic,No,1
CUST_00318,58,73.65,4295.74,Month-to-Month,Credit Card,Fiber Optic,No,1
CUST_00319,63,57.88,,One-Year,Electronic Check,DSL,No internet service,0
CUST_00320,62,65.7,4100.58,One-Year,Credit Card,DSL,No internet service,0
CUST_00321,22,80.4,1781.98,Month-to-Month,Electronic Check,No,No internet service,0
CUST_00322,58,70.23,4077.3,Month-to-Month,Bank Transfer,DSL,No internet service,0
CUST_00323,58,73.99,4280.49,One-Year,Bank Transfer,Fiber Optic,Yes,0
CUST_00324,49,68.64,3350.04,Month-to-Month,Credit Card,No,No internet service,0
